,metascore,name,userscore,name_new
269,93,Uncharted 4: A Thief's End,8.3,uncharted4 athief send
270,92,Uncharted 3: Drake's Deception,8.4,uncharted3 drake sdeception
271,92,The ICO & Shadow of the Colossus Collection,8.6,theico shadowofthecolossuscollection
272,92,Rayman Origins,8.5,raymanorigins
273,91,LittleBigPlanet 2,8.4,littlebigplanet2
274,91,Forza Motorsport 4,8.2,forzamotorsport4
275,91,Batman: Arkham City,8.7,batman arkhamcity
276,91,Gears of War 3,7.9,gearsofwar3
277,90,NBA 2K12,6.7,nba2k12
278,90,FIFA Soccer 12,7.2,fifasoccer12
279,90,FIFA Soccer 12,6.8,fifasoccer12
280,86,Dragon Ball FighterZ,7.8,dragonballfighterz
281,86,Yakuza 0,8.2,yakuza0
282,86,Destiny 2: Forsaken,5.5,destiny2 forsaken
283,86,Keep Talking and Nobody Explodes,7.8,keeptalkingandnobodyexplodes
284,86,PlayerUnknown's Battlegrounds,5.6,playerunknown sbattlegrounds
285,86,Mini Metro,8.2,minimetro
286,86,Dark Souls Remastered,5.8,darksoulsremastered
287,85,Child of Light,8.6,childoflight
288,85,Dark Souls Remastered,6.2,darksoulsremastered
289,85,Night in the Woods,8.1,nightinthewoods
290,93,INSIDE,8.2,inside
291,92,Out of the Park Baseball 17,3.4,outoftheparkbaseball17
292,92,The Witcher 3: Wild Hunt - Blood and Wine,9.2,thewitcher3 wildhunt bloodandwine
293,91,Overwatch,6.7,overwatch
294,91,Overwatch,5.8,overwatch
295,91,Forza Horizon 3,8.0,forzahorizon3
296,91,The Witcher 3: Wild Hunt - Blood and Wine,8.9,thewitcher3 wildhunt bloodandwine
297,91,INSIDE,8.2,inside
298,90,Overwatch,6.3,overwatch
299,90,Stephen's Sausage Roll,5.5,stephen ssausageroll
300,90,NBA 2K17,6.0,nba2k17
301,90,MLB 11: The Show,7.8,mlb11 theshow
302,90,Dead Space 2,8.6,deadspace2
303,90,Super Mario 3D Land,8.4,supermario3dland
304,90,Deus Ex: Human Revolution,8.5,deusex humanrevolution
305,90,Pushmo,8.3,pushmo
306,90,Metal Gear Solid HD Collection,8.7,metalgearsolidhdcollection
307,90,LIMBO,7.8,limbo
308,90,Total War: Shogun 2,8.4,totalwar shogun2
309,90,NBA 2K12,7.7,nba2k12
310,89,Dark Souls,8.7,darksouls
311,89,Deus Ex: Human Revolution,8.2,deusex humanrevolution
312,85,Guacamelee! 2,7.4,guacamelee 2
313,85,Final Fantasy XV: Windows Edition,7.7,finalfantasyxv windowsedition
314,85,CrossCode,7.5,crosscode
315,85,DJMax Respect,7.5,djmaxrespect
316,85,Dragon Ball FighterZ,7.6,dragonballfighterz
317,85,Batman: The Enemy Within - Episode 5: Same Stitch,7.6,batman theenemywithin episode5 samestitch
318,85,Yakuza Kiwami 2,8.0,yakuzakiwami2
319,85,Full Metal Furies,7.4,fullmetalfuries
